Дата проверки,Основная категория,Категории совпадения,Регион,Название,Тип,Ссылка,Username / invite,Подписчики/участники,Комментарии открыты,Можно публиковать бесплатно,Условия публикации,Контакты администратора,Активность канала/чата,Последняя активность,Описание,Источник данных,TGStat/каталог карточка,Source URL(s),Поисковые запросы
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,АВТОРЫНОК МОСКВА,чат/группа,https://t.me/avtorynok_moskva,avtorynok_moskva,48411,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний/высокий размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Группа ""Авторыночк Москва"" предназначена для покупки и продажи автомобилей. В группе имеются правила и контакт для рекламы.",tg-cat public search,https://tg-cat.com/@avtorynok_moskva,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA&type=supergroup&lang=en,авторынок; авторынок москва
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,🇷🇺АВТОРЫНОК МОСКВЫ / И - СПБ РФ 🇷🇺 ️,чат/группа,https://t.me/avto999999555,avto999999555,46602,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний/высокий размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"🚗✨ Ищете автомобиль в Москве или по всей России? Присоединяйтесь к нашему авторынку! Объявления с маркой, моделью, годом выпуска, ценой и другой важной информацией. Не упустите шанс найти идеальный автомобиль! Все",tg-cat public search,https://tg-cat.com/@avto999999555,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,авторынок москва
2026-07-05,Авторынки Москвы,Авторынки Москвы; Обмен автомобилей; Чаты купли-продажи,Москва / Московская область,Авторынок Москва,чат/группа,https://t.me/moscow_autotrade,moscow_autotrade,42746,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний/высокий размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Добро пожаловать на авторынок Москвы! Здесь вы найдете идеальное место для покупки, продажи и обмена автомобилей. Наша онлайн площадка предлагает широкий выбор легковых и коммерческих автомобилей для всех желающих. Устали от скучных объявлений? Мы сделали процесс простым и ув",tg-cat public search,https://tg-cat.com/@moscow_autotrade,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%BE%D0%B1%D0%BC%D0%B5%D0%BD%20%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D0%B5%D0%B9&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%BE%D0%B1%D0%BC%D0%B5%D0%BD%20%D0%B0%D0%B2%D1%82%D0%BE&type=supergroup&lang=en,авторынок; авторынок москва; обмен авто; обмен автомобилей
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,Авторынок Москва,канал,https://t.me/mashiny_v_moskve,mashiny_v_moskve,28995,не удалось проверить web-источником,неизвестно,В открытой web-карточке условия публикации не указаны.,@global_managerEU,средний/высокий размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Добро пожаловать на канал ""Авторынок Москва""! Здесь вы найдете свежие вакансии и яркие объявления о продаже автомобилей. Хотите разместить свою рекламу или вакансию? Пишите нам @global_managerEU с 08:00 до 20:00 МСК – мы",tg-cat public search,https://tg-cat.com/@mashiny_v_moskve,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=channel&lang=en; https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA&type=channel&lang=en,авторынок; авторынок москва
2026-07-05,Авторынки Москвы,Авторынки Москвы,Москва / Московская область,"АвтоБазар Москва, Питер",канал,https://t.me/joinchat/Jy4rNI7bVFVlZjg6,joinchat/Jy4rNI7bVFVlZjg6,19343,не удалось проверить web-источником,по согласованию / неясно,"Есть контакт/упоминание размещения, но бесплатность не подтверждена.",@managAv,средний/высокий размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"🚗 Добро пожаловать на АвтоБазар Москва и Питер! Здесь вы найдёте лучшие цены на автомобили в столице и северной столице. Хотите продать свой авто? Размещайте объявления легко и быстро, связавшись с нашим менеджером @managAv",tg-cat public search,https://tg-cat.com/@joinchat/Jy4rNI7bVFVlZjg6,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=channel&lang=en,авто москва
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,Авто рынок Москва,чат/группа,https://t.me/avtorynok_chat,avtorynok_chat,12499,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний/высокий размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"🌟 Добро пожаловать в сообщество ""Авто рынок Москва""! 🚗 Здесь вы найдете лучшие предложения по продаже автомобилей в Москве и Подмосковье. Мы собираем только самые свежие и реальные объявления от владельцев, чтобы помочь вам сделать правильный выбор. Наши",tg-cat public search,https://tg-cat.com/@avtorynok_chat,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,авто москва; авто рынок москва; продажа авто москва
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,"DOSKA.MOSCOW-Работа,Вакансия,Услуги,Авто,Недвиж.,Халтур...",чат/группа,https://t.me/do_msk,do_msk,10273,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний/высокий размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Добро пожаловать в чат DOSKA.MOSCOW! Здесь вы найдете всё о работе, вакансиях, услугах и арендных предложениях, касающихся автомобилей и недвижимости. Также обсуждаем подработку, халтуру и предметы на барахолке. Мы",tg-cat public search,https://tg-cat.com/@do_msk,https://tg-cat.com/?search=%D0%B1%D0%B0%D1%80%D0%B0%D1%85%D0%BE%D0%BB%D0%BA%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en; https://tg-cat.com/?search=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,барахолка авто москва; продажа авто москва
2026-07-05,Авторынки Москвы,Авто ниже рынка; Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,Авторынок Москва Перекупы,чат/группа,https://t.me/avtorynok_moskva1,avtorynok_moskva1,9738,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,,tg-cat public search,https://tg-cat.com/@avtorynok_moskva1,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,авторынок москва
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,Красивые номера на авто,канал,https://t.me/runomer,runomer,9608,не удалось проверить web-источником,по согласованию / неясно,"Есть контакт/упоминание размещения, но бесплатность не подтверждена.","@runomerbot, @runomer_robot",средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,Добро пожаловать на наш канал! Здесь вы можете купить или продать красивые номера для авто в Москве и МО. У нас простой процесс размещения объявлений с помощью нашего бота @runomerbot. Не забудьте также о рекламе: @runomer_robot. Следите за нашими,tg-cat public search,https://tg-cat.com/@runomer,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=channel&lang=en; https://tg-cat.com/?search=%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C%20%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D1%82%D1%8C%20%D0%B0%D0%B2%D1%82%D0%BE&type=channel&lang=en,авто москва; купить продать авто
2026-07-05,Авторынки Москвы,Авторынки Москвы; Чаты купли-продажи,Москва / Московская область,Авторынок | Продажа Автомобилей | МОСКВА,чат/группа,https://t.me/moskva_avtobazar,moskva_avtobazar,7736,"да, это чат/группа",неизвестно,В открытой web-карточке условия публикации не указаны.,не указаны в web-карточке,средний размер аудитории; фактическая активность постов/онлайн не проверена web-источником,не удалось проверить без Telegram API / просмотра t.me/s,"Добро пожаловать в мир авторынка Москвы! 🚗💨 Здесь у вас есть уникальная возможность купить или продать автомобиль своей мечты. Наша платформа предоставляет удобные условия для взаимодействия между продавцами и покупателями. Перед тем как начать, ознакомьтесь, пожалуйста",tg-cat public search,https://tg-cat.com/@moskva_avtobazar,https://tg-cat.com/?search=%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%8B%D0%BD%D0%BE%D0%BA%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&type=supergroup&lang=en,авторынок москва
